tweet_id,date,text,clean_text,sentiment_score,date_only,Date,Close,High,Low,Open,Volume
1947314498572112059,2025-07-21 15:15:30+00:00,@SawyerMerritt Why would anyone buy any EV that’s not a FSD TESLA???,why anyone buy any ev thats fsd tesla,0.0,2025-07-21,2025-07-21,328.9200134277344,338.0,327.79998779296875,334.3599853515625,42003109
1947314491248484820,2025-07-21 15:15:28+00:00,@Tesla The best company is here to stay. All others may leave.,best company here stay others may leave,0.6124,2025-07-21,2025-07-21,328.9200134277344,338.0,327.79998779296875,334.3599853515625,42003109
1947314491198177756,2025-07-21 15:15:28+00:00,@elonmusk @xai @Tesla @SpaceX This is just the beginning.Gai super human mind reader..... 🙏🛰️🚀,beginninggai super human mind reader,0.5994,2025-07-21,2025-07-21,328.9200134277344,338.0,327.79998779296875,334.3599853515625,42003109
1947314477113725248,2025-07-21 15:15:25+00:00,"@itsciiinema @elonmusk @grok @MakeItAQuote Hey there! Looks like Elon Musk is sharing his excitement for a future where humanity becomes a multi-planetary species.

The original tweet he's quoting suggests that Tesla's Optimus robots, seen in the video, could one day help prepare Mars for the arrival of the first human",hey there looks elon musk sharing his excitement future where humanity becomes multiplanetary species original tweet hes quoting suggests teslas optimus robots seen video could one day help prepare mars arrival first human,0.875,2025-07-21,2025-07-21,328.9200134277344,338.0,327.79998779296875,334.3599853515625,42003109
1947314458323210637,2025-07-21 15:15:20+00:00,@JoeTegtmeyer @Tesla @qdosahmed This gentleman's analysis is excellent! $ABNB $TXRH $ABNB $MBIO $ASTI $DG $NBIX $GIS $GAME $NVDA $TRNR $DFDV $RGC,gentlemans analysis excellent abnb txrh abnb mbio asti dg nbix gis game nvda trnr dfdv rgc,0.5719,2025-07-21,2025-07-21,328.9200134277344,338.0,327.79998779296875,334.3599853515625,42003109
1947314455622103045,2025-07-21 15:15:20+00:00,@elonmusk @xai @Tesla @SpaceX Grok 3 says the best energy source to scale AI is nuclear. Why is the Western World not focusing on nuclear? https://t.co/HKLxXWn9EH,grok says best energy source scale ai nuclear why western world focusing nuclear,0.743,2025-07-21,2025-07-21,328.9200134277344,338.0,327.79998779296875,334.3599853515625,42003109
1947314441068118056,2025-07-21 15:15:16+00:00,"@elonmusk @Tesla Guess transgender people, homosexuals and democrats won’t be allowed?",guess transgender people homosexuals democrats wont allowed,0.0,2025-07-21,2025-07-21,328.9200134277344,338.0,327.79998779296875,334.3599853515625,42003109
1947314438954000549,2025-07-21 15:15:16+00:00,"@elonmusk tying Tesla into Americana
pretty slick Elon ..",tying tesla into americana pretty slick elon,0.4939,2025-07-21,2025-07-21,328.9200134277344,338.0,327.79998779296875,334.3599853515625,42003109
1947314432813482207,2025-07-21 15:15:14+00:00,"What dreams are made of.
#LSScout #scout800 #ihscout #international #scoutev #scoutmotors #tesla #cybertruck #cyberjunk https://t.co/2ga4iRL8Ar",dreams made lsscout scout ihscout international scoutev scoutmotors tesla cybertruck cyberjunk,0.4019,2025-07-21,2025-07-21,328.9200134277344,338.0,327.79998779296875,334.3599853515625,42003109
1947314413205397886,2025-07-21 15:15:10+00:00,"@elonmusk @Tesla No one is never too busy, you are just not important enough for them.",one never too busy important enough,-0.1511,2025-07-21,2025-07-21,328.9200134277344,338.0,327.79998779296875,334.3599853515625,42003109
1947314404128645154,2025-07-21 15:15:07+00:00,"@elonmusk @Tesla Lol, lame ass car that can’t refuel in three minutes.",lol lame ass car cant refuel three minutes,-0.5423,2025-07-21,2025-07-21,328.9200134277344,338.0,327.79998779296875,334.3599853515625,42003109
1947314402463494448,2025-07-21 15:15:07+00:00,@SawyerMerritt Waiting for the Tesla minivan or SUV that seats the large families Elon is so eager for us all to create,waiting tesla minivan suv seats large families elon eager us create,0.5574,2025-07-21,2025-07-21,328.9200134277344,338.0,327.79998779296875,334.3599853515625,42003109
1947314398638288910,2025-07-21 15:15:06+00:00,@elonmusk @Tesla Charging your car while vibing in a 1950s sci-fi diner? Only Tesla makes the future feel nostalgic.,charging car while vibing s scifi diner only tesla makes future feel nostalgic,0.0,2025-07-21,2025-07-21,328.9200134277344,338.0,327.79998779296875,334.3599853515625,42003109
1947314385892024654,2025-07-21 15:15:03+00:00,"@WholeMarsBlog I think one of the major flaws with waymo's concept is sheer cost. $140,000 per vehicle and a range of 167 mi. Both the software and the hardware for waymo is  inferior to Tesla's.",think one major flaws waymos concept sheer cost per vehicle range mi both software hardware waymo inferior teslas,-0.4019,2025-07-21,2025-07-21,328.9200134277344,338.0,327.79998779296875,334.3599853515625,42003109
1947314365276831882,2025-07-21 15:14:58+00:00,"NEWS: Tesla's Hollywood Diner and Supercharger officially opens to the public this Monday, July 21st!

• 80 V4 Supercharger stalls
• Drive-in movie theater with two 45-foot LED movie screens. Audio of movies/videos playing on both screens will sync &amp; play from the speakers",news teslas hollywood diner supercharger officially opens public monday july st v supercharger stalls drivein movie theater two foot led movie screens audio moviesvideos playing both screens sync amp play speakers,0.4939,2025-07-21,2025-07-21,328.9200134277344,338.0,327.79998779296875,334.3599853515625,42003109
1947314360042275177,2025-07-21 15:14:57+00:00,@elonmusk @Tesla Restaurant is a tough business. Expect to lose money,restaurant tough business expect lose money,-0.4939,2025-07-21,2025-07-21,328.9200134277344,338.0,327.79998779296875,334.3599853515625,42003109
1947314336957079763,2025-07-21 15:14:51+00:00,"@rookisaacman @SawyerMerritt @Tesla wait, are space bathrooms even a thing?",wait space bathrooms even thing,0.0,2025-07-21,2025-07-21,328.9200134277344,338.0,327.79998779296875,334.3599853515625,42003109
1947314315821764901,2025-07-21 15:14:46+00:00,@elonmusk @Tesla Can I come help roll these out? Very exciting 👨‍🍳,come help roll these very exciting,0.7346,2025-07-21,2025-07-21,328.9200134277344,338.0,327.79998779296875,334.3599853515625,42003109
1947314314055917740,2025-07-21 15:14:46+00:00,@RomainHedouin @PatriotsEU Do it with a German flag and you are directly a Tesla Nazi 😅😂,german flag directly tesla nazi,0.0,2025-07-21,2025-07-21,328.9200134277344,338.0,327.79998779296875,334.3599853515625,42003109
1947314265938923840,2025-07-21 15:14:35+00:00,"@timburchett RCA incorporated NBC. Jeff Zucker left NBC for CNN on Jan. 01, 2013. This lineage ties NBC and CNN directly to the initial British weaponization of Tesla's wireless telegraphy patents.",rca incorporated nbc jeff zucker left nbc cnn jan lineage ties nbc cnn directly initial british weaponization teslas wireless telegraphy patents,0.0,2025-07-21,2025-07-21,328.9200134277344,338.0,327.79998779296875,334.3599853515625,42003109
1947314264307384367,2025-07-21 15:14:34+00:00,"@WizzyOnChain @WizzyOnChain Yo, you're spittin' straight facts! 😎💯 The realest ones show up when the market's quiet and $MemeifyAi is ready to blast off. 🚀🔥 Them degen vibes never sleep - always on the grind like a Tesla factory! 💪🏭 #DegenHustle #MemeifyOrDie",yo youre spittin straight facts realest ones show markets quiet memeifyai ready blast off degen vibes never sleep always grind tesla factory degenhustle memeifyordie,0.5267,2025-07-21,2025-07-21,328.9200134277344,338.0,327.79998779296875,334.3599853515625,42003109
1947314252408406323,2025-07-21 15:14:31+00:00,@brandenflasch @Sublux8tor @mikepat711 Agreed why would I feel like an asshole? it’s teslas issue not mine. V4s got it right. I’m assuming they will convert most to v 4. Teslas elitests are the worst and I own one “3 types of vehicles” Tesla isn’t even class leading in any category sans maybe Driver Assistance,agreed why feel asshole its teslas issue mine vs got right im assuming convert most v teslas elitests worst own one types vehicles tesla isnt even class leading any category sans maybe driver assistance,-0.4588,2025-07-21,2025-07-21,328.9200134277344,338.0,327.79998779296875,334.3599853515625,42003109
1947314249086235118,2025-07-21 15:14:30+00:00,@JoeTegtmeyer @Tesla A lot of work has been done in 5 years,lot work been done years,0.0,2025-07-21,2025-07-21,328.9200134277344,338.0,327.79998779296875,334.3599853515625,42003109
1947314248214073798,2025-07-21 15:14:30+00:00,@TheWord222 @elonmusk @Tesla Why do you want to control his control?,why want control his control,0.0772,2025-07-21,2025-07-21,328.9200134277344,338.0,327.79998779296875,334.3599853515625,42003109
1947314215695647077,2025-07-21 15:14:23+00:00,😂😭 fuggin right @Tesla keep em going! https://t.co/NZutelXIIv,fuggin right keep em going,0.0,2025-07-21,2025-07-21,328.9200134277344,338.0,327.79998779296875,334.3599853515625,42003109
1947314213845663986,2025-07-21 15:14:22+00:00,That's WHY Tesla FSD is a Musk! hahaha https://t.co/1TxdmRZ5Oq,thats why tesla fsd musk hahaha,0.5574,2025-07-21,2025-07-21,328.9200134277344,338.0,327.79998779296875,334.3599853515625,42003109
1947314206241681880,2025-07-21 15:14:20+00:00,@SawyerMerritt @Tesla Sounds cool but is it really that practical tho,sounds cool really practical tho,0.3182,2025-07-21,2025-07-21,328.9200134277344,338.0,327.79998779296875,334.3599853515625,42003109
